Tue Jul 02 2013 00:00:00 GMT-0400 (Eastern Daylight Time),88.05,92.30,87.51,90.13,0,1024082228
Wed Jul 03 2013 00:00:00 GMT-0400 (Eastern Daylight Time),90.40,90.98,76.98,77.53,0,881233116
Thu Jul 04 2013 00:00:00 GMT-0400 (Eastern Daylight Time),78.89,83.11,72.00,80.53,0,915618609
Fri Jul 05 2013 00:00:00 GMT-0400 (Eastern Daylight Time),79.99,80.00,65.53,68.43,0,778411179
Sat Jul 06 2013 00:00:00 GMT-0400 (Eastern Daylight Time),68.50,75.00,66.82,70.28,0,799741619
Sun Jul 07 2013 00:00:00 GMT-0400 (Eastern Daylight Time),68.75,74.56,66.62,74.56,0,848838979
Mon Jul 08 2013 00:00:00 GMT-0400 (Eastern Daylight Time),76.50,80.00,72.60,76.52,0,871457940
Tue Jul 09 2013 00:00:00 GMT-0400 (Eastern Daylight Time),76.00,78.30,72.52,76.69,0,873841849
Wed Jul 10 2013 00:00:00 GMT-0400 (Eastern Daylight Time),76.72,87.00,76.20,86.76,0,988957719
Thu Jul 11 2013 00:00:00 GMT-0400 (Eastern Daylight Time),88.00,90.28,85.08,88.98,0,1014650063
Fri Jul 12 2013 00:00:00 GMT-0400 (Eastern Daylight Time),88.98,104.00,88.17,93.59,0,1067634684
Sat Jul 13 2013 00:00:00 GMT-0400 (Eastern Daylight Time),93.99,98.25,88.06,98.13,0,1119796120
Sun Jul 14 2013 00:00:00 GMT-0400 (Eastern Daylight Time),98.70,98.70,92.86,94.69,0,1080917760
Mon Jul 15 2013 00:00:00 GMT-0400 (Eastern Daylight Time),93.61,101.90,93.11,98.40,0,1123658944
Tue Jul 16 2013 00:00:00 GMT-0400 (Eastern Daylight Time),98.89,99.86,96.14,97.45,0,1113217032
Wed Jul 17 2013 00:00:00 GMT-0400 (Eastern Daylight Time),96.71,99.97,96.18,98.50,0,1125658000
Thu Jul 18 2013 00:00:00 GMT-0400 (Eastern Daylight Time),98.50,98.80,86.20,90.58,0,1035512825
Fri Jul 19 2013 00:00:00 GMT-0400 (Eastern Daylight Time),90.07,95.20,87.80,92.17,0,1054083771
Sat Jul 20 2013 00:00:00 GMT-0400 (Eastern Daylight Time),92.00,93.10,89.27,89.39,0,1022707665
Sun Jul 21 2013 00:00:00 GMT-0400 (Eastern Daylight Time),89.82,91.95,88.00,90.76,0,1038798980
Mon Jul 22 2013 00:00:00 GMT-0400 (Eastern Daylight Time),92.00,92.00,90.08,91.61,0,1048939081
Tue Jul 23 2013 00:00:00 GMT-0400 (Eastern Daylight Time),91.60,96.82,91.60,95.56,0,1094484058
Wed Jul 24 2013 00:00:00 GMT-0400 (Eastern Daylight Time),95.56,95.99,93.00,94.51,0,1082848325
Thu Jul 25 2013 00:00:00 GMT-0400 (Eastern Daylight Time),94.50,97.33,93.87,96.90,0,1110587858
Fri Jul 26 2013 00:00:00 GMT-0400 (Eastern Daylight Time),96.95,97.47,96.00,96.02,0,1100902800
Sat Jul 27 2013 00:00:00 GMT-0400 (Eastern Daylight Time),96.02,97.00,93.00,94.12,0,1079491697
Sun Jul 28 2013 00:00:00 GMT-0400 (Eastern Daylight Time),94.40,100.58,94.00,99.76,0,1144602838
